#From;To;Type;Through;Data;Comment
#
# The canals
#
532;1116;canal;604;1;Valles Canal 1
140;233;canal;211;2;Ceraunia Canal
1116;684;canal;665;3;Valles Canal 2
1103;1100;canal;1111;4;Middle Mars Canal
# Inner Sea Australe 
#
1247;1999;sea;1306;0;
1256;1986;sea;1290;0;
1999;1378;sea;1356;0;
1986;1378;sea;1385;0;
1579;1488;sea;1477;0;
1986;1398;sea;1380;0;
1579;1398;sea;1427;0;
#
# Inner Sea Aonia 
#
1148;1124;sea;1122;0;
1124;1035;sea;1114;0;
1035;1103;sea;1084;0;
#
# Impassables
#
1327;1328;impassable;0;0;artic
1327;1373;impassable;0;0;artic
1327;1428;impassable;0;0;artic
1327;1412;impassable;0;0;artic
1327;1383;impassable;0;0;artic
1327;1332;impassable;0;0;artic
1327;1310;impassable;0;0;artic
1327;1301;impassable;0;0;artic
1333;1328;impassable;0;0;artic
1333;1293;impassable;0;0;artic
1333;1335;impassable;0;0;artic
1333;1392;impassable;0;0;artic
1333;1406;impassable;0;0;artic
1333;1429;impassable;0;0;artic
1333;1428;impassable;0;0;artic
1333;1373;impassable;0;0;artic
#
# River Crossings
#
151;169;sea;165;0;
142;169;sea;165;0;
135;157;sea;148;0;
#
125;149;sea;141;0;
131;152;sea;141;0;
#
201;203;sea;206;0;
228;247;sea;225;0;
#
1949;1978;sea;1971;0;
1949;1977;sea;1971;0;
1946;1967;sea;1971;0;
#
2001;2033;sea;2019;0;
2018;2039;sea;2032;0;
2029;2039;sea;2032;0;
2067;2070;sea;2074;0;
2100;2102;sea;2074;0;
#
2228;2246;sea;2239;0;
2221;2250;sea;2233;0;
2221;2235;sea;2233;0;
2181;2235;sea;2202;0;
#Hellenic Rivers and Islands
2096;2121;sea;2117;0;
2081;2088;sea;2066;0;
2055;2041;sea;2003;0;
2027;2056;sea;1985;0;
2027;2023;sea;1985;0;
2027;2005;sea;2003;0;
2000;2041;sea;1653;0;
2000;2037;sea;1653;0;
1998;2037;sea;1653;0;
1998;2042;sea;1653;0;
1981;2017;sea;1653;0;
1936;1911;sea;138;0;
1936;1950;sea;138;0;
1913;1895;sea;138;0;
1913;1867;sea;138;0;
1903;1892;sea;1868;0;
1903;1896;sea;1868;0;
1882;1896;sea;1868;0;
1752;1764;sea;1748;0;
1693;1712;sea;1690;0;
1680;1691;sea;1690;0;
#Sabaea River
2176;2225;sea;2215;0;
2176;2216;sea;2215;0;
2176;2216;sea;2209;0;
2143;2209;sea;2205;0;
2143;2191;sea;2205;0;
2172;2191;sea;2185;0;
2172;2192;sea;2185;0;
2154;2192;sea;2185;0;
2166;2210;sea;2201;0;
2177;2208;sea;2186;0;
2293;2295;sea;2275;0;
2314;2295;sea;2302;0;
2314;2299;sea;2302;0;
#Dala River
1768;1802;sea;2286;0;
1753;1780;sea;2286;0;
1735;1780;sea;2286;0;
1735;1776;sea;2182;0;
1730;1776;sea;2182;0;
1709;1767;sea;2182;0;
1724;1771;sea;2200;0;
1736;1785;sea;2207;0;
1781;1785;sea;2207;0;
1781;1805;sea;2207;0;
#Eosian Islands
1264;1266;sea;1267;0;
1264;1316;sea;1267;0;
1397;1408;sea;1375;0;
1397;1415;sea;1375;0;
1431;1415;sea;1425;0;
1446;1495;sea;1424;0;
1211;1257;sea;1212;0;
1257;1273;sea;1212;0;
1273;1274;sea;1212;0;
1273;1295;sea;1212;0;
1274;1279;sea;1212;0;
1257;1287;sea;1236;0;
1287;1295;sea;1236;0;
1295;1314;sea;1288;0;
1314;1326;sea;1288;0;
1314;1323;sea;1288;0;
1326;1323;sea;1288;0;
1323;1343;sea;1288;0;
1343;1344;sea;1288;0;
1326;1338;sea;1308;0;
1344;1384;sea;1337;0;
1384;1390;sea;1337;0;
1209;1215;sea;1195;0;
1203;1220;sea;1208;0;
#Valles Marineris Crossings
896;916;sea;846;0;
916;941;sea;846;0;
941;964;sea;846;0;
964;996;sea;974;0;
798;818;sea;799;0;
853;849;sea;827;0;
571;593;sea;581;0;
571;546;sea;548;0;
571;564;sea;548;0;
605;603;sea;573;0;
580;574;sea;573;0;
533;574;sea;548;0;
533;554;sea;548;0;
665;696;sea;684;0;
#Temp Terra Crossings
228;247;sea;225;0;
203;201;sea;206;0;
201;202;sea;144;0;
167;178;sea;146;0;
#Alba Rivers
131;152;sea;141;0;
125;149;sea;141;0;
135;157;sea;148;0;
142;157;sea;148;0;
142;169;sea;165;0;
151;169;sea;165;0;
#Daedalian Rivers
551;579;sea;286;0;
549;583;sea;286;0;
631;661;sea;710;0;
620;662;sea;710;0;
#Elysian Rivers
1679;1687;sea;1754;0;
1710;1727;sea;1754;0;
1364;1362;sea;1348;0;
1364;1377;sea;1348;0;
#Hesperia Islands and Rivers
1645;1669;sea;1633;0;
1669;1723;sea;1689;0;
1673;1649;sea;1672;0;
1649;1714;sea;1672;0;
